ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],X,Y,x_1,x_2,utc_mu,year_jst_mu,month_jst_mu,day_jst_mu,hour_jst_mu,minute_jst_mu,second_jst_mu,duration,alt_start,alt_end,azimuth_radiant,zenith_radiant,velocity,n_data_interferometry,n_data_doppler,azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso
582332_030,59.5,11,27,53.6576,-8,43,36.372,400,130,311,460,2018-04-18T15:41:42.869,2018,4,19,0,41,42.86896,0.32136,92.972607,89.342559,171.709339,65.95549,29.021553,43,100,231.37098,27.311044,196487.9279,233.785645,26.965815,191055.7178
582412_092,98,11,35,49.7064,-8,43,36.342,248,123,90,430,2018-04-18T15:43:17.024,2018,4,19,0,43,17.02432,0.25584,96.95646,91.029627,94.849929,63.620318,54.262839,40,79,232.394996,28.975602,194565.9968,235.042233,26.202077,199503.3699
582422_091,98,11,31,33.3806,-8,52,28.59,268,237,113,423,2018-04-18T15:43:17.024,2018,4,19,0,43,17.02432,0.25584,96.95646,91.029627,94.849929,63.620318,54.262839,40,79,232.394996,28.975602,194565.9968,235.042233,26.202077,199503.3699
582521_118,64,11,30,28.0997,-9,41,17.907,67,246,20,120,2018-04-18T15:44:33.249,2018,4,19,0,44,33.24904,0.32448,92.041945,87.477405,186.699312,59.603256,27.338707,47,105,232.966969,26.327601,200836.6612,234.754331,25.867298,194032.653
582542_119,64.5,11,23,27.8084,-8,50,27.681,394,222,252,478,2018-04-18T15:44:33.249,2018,4,19,0,44,33.24904,0.32448,92.041945,87.477405,186.699312,59.603256,27.338707,47,105,232.966969,26.327601,200836.6612,234.754331,25.867298,194032.653
582612_108,107,11,35,52.8722,-8,46,27.683,258,159,80,450,2018-04-18T15:45:30.985,2018,4,19,0,45,30.98464,0.17784,104.907169,102.723392,75.197199,78.202128,59.948826,31,56,231.70426,30.542349,200976.9927,233.057735,28.630491,208044.129
582715_090,72.5,11,36,14.1687,-6,16,47.17,323,90,135,500,2018-04-18T15:46:24.748,2018,4,19,0,46,24.74848,0.15912,109.046699,108.188039,107.793856,85.585663,70.826908,38,52,231.513357,30.954108,206408.3601,234.450116,29.838694,211301.726
582715_090,72.5,11,36,13.5273,-6,17,6.191,321,94,135,500,2018-04-18T15:46:24.748,2018,4,19,0,46,24.74848,0.15912,109.046699,108.188039,107.793856,85.585663,70.826908,38,52,231.513357,30.954108,206408.3601,234.450116,29.838694,211301.726
582715_091,73.5,11,34,52.6496,-6,10,38.249,67,13,35,105,2018-04-18T15:46:24.748,2018,4,19,0,46,24.74848,0.15912,109.046699,108.188039,107.793856,85.585663,70.826908,38,52,231.513357,30.954108,206408.3601,234.450116,29.838694,211301.726
582715_091,73.5,11,34,52.0061,-6,10,57.269,65,17,35,105,2018-04-18T15:46:24.748,2018,4,19,0,46,24.74848,0.15912,109.046699,108.188039,107.793856,85.585663,70.826908,38,52,231.513357,30.954108,206408.3601,234.450116,29.838694,211301.726
